id,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
51839,Cat,,http://static.inaturalist.org/photos/81958/medium.jpg,35.2773329,-82.7909605,Rhododendron maximum,great rhododendron,83059,Ericaceae
91517,,CC-BY,http://static.inaturalist.org/photos/133637/medium.jpg,35.405299,-82.758373,Rhododendron calendulaceum,Flame Azalea,118749,Ericaceae
145277,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/200695/medium.jpg,35.2476949736,-83.0322933547,Sedum glaucophyllum,cliff stonecrop,168736,Crassulaceae
269643,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333590/medium.jpg,35.425943,-82.756796,Zizia trifoliata,Meadow Alexander,170445,Apiaceae
269644,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333591/medium.jpg,35.425943,-82.756796,Houstonia serpyllifolia,Thyme-leaved Bluet,163844,Rubiaceae
269645,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333592/medium.jpg,35.425943,-82.756796,Uvularia puberula,Appalachian bellwort,170096,Colchicaceae
269646,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333593/medium.jpg,35.425943,-82.756796,Maianthemum canadense,Canada mayflower,67748,Asparagaceae
269647,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333594/medium.jpg,35.425943,-82.756796,Packera aurea,golden ragwort,116329,Asteraceae
269650,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333597/medium.jpg,35.425943,-82.756796,Anemonoides quinquefolia,wood anemone,950598,Ranunculaceae
269651,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333598/medium.jpg,35.425943,-82.756796,Fragaria virginiana,Virginia strawberry,77155,Rosaceae
269652,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333599/medium.jpg,35.425943,-82.756796,Rhododendron minus,gorge rhododendron,167818,Ericaceae
269653,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333600/medium.jpg,35.425943,-82.756796,Pedicularis canadensis,Canadian lousewort,51227,Orobanchaceae
269654,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333601/medium.jpg,35.425943,-82.756796,Trillium grandiflorum,large white trillium,55402,Melanthiaceae
269656,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333603/medium.jpg,35.425943,-82.756796,Sambucus racemosa pubens,Eastern Red Elder,362529,Viburnaceae
269657,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/333604/medium.jpg,35.425943,-82.756796,Trillium undulatum,painted trillium,51435,Melanthiaceae
348231,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433920/medium.jpg,35.279,-82.7521666667,Monarda didyma,Scarlet Beebalm,52735,Lamiaceae
348233,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433916/medium.jpg,35.2791666667,-82.753,Goodyera pubescens,downy rattlesnake plantain,62406,Orchidaceae
348234,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433926/medium.jpg,35.3668333333,-82.7526666667,Medeola virginiana,Cucumber Root,54924,Liliaceae
348238,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433925/medium.jpg,35.279,-82.7521666667,Eutrochium fistulosum,Hollow Joe-Pye Weed,132717,Asteraceae
348239,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433933/medium.jpg,35.279,-82.7521666667,Lilium superbum,Turk's-cap lily,85008,Liliaceae
348240,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433931/medium.jpg,35.279,-82.7521666667,Scutellaria incana,Downy Skullcap,133094,Lamiaceae
348241,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/433942/medium.jpg,35.364,-82.7526666667,Goodyera pubescens,downy rattlesnake plantain,62406,Orchidaceae
348846,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/434694/medium.jpg,35.364,-82.7526666667,Goodyera pubescens,downy rattlesnake plantain,62406,Orchidaceae
349034,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/434975/medium.jpg,35.279,-82.7521666667,Monotropa uniflora,Ghost Pipe,49477,Ericaceae
654616,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/825948/medium.JPG,35.357708,-82.999739,Viburnum lantanoides,hobblebush,63166,Viburnaceae
654634,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/825976/medium.JPG,35.3461746037,-82.8092423299,Lonicera canadensis,American fly-honeysuckle,119807,Caprifoliaceae
712403,Delilah Wilson,,http://static.inaturalist.org/photos/895069/medium.jpg,35.30648,-82.89498,Trillium undulatum,painted trillium,51435,Melanthiaceae
759356,Jessica,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/954486/medium.jpg,35.266765302,-82.8992384297,Drosera rotundifolia,round-leaved sundew,52658,Droseraceae
762401,Jessica,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/958996/medium.jpg,35.2945360826,-82.8869600651,Rhododendron cumberlandense,Cumberland Rhododendron,167813,Ericaceae
763932,Jessica,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/961061/medium.jpg,35.3276783333,-82.8787916667,Kalmia latifolia,mountain laurel,49397,Ericaceae
803491,Robby Deans,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1012402/medium.JPG,35.284522,-82.722784,Rubus phoenicolasius,wineberry,84227,Rosaceae
826727,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043317/medium.JPG,35.367324,-82.990414,Monotropa uniflora,Ghost Pipe,49477,Ericaceae
826728,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043318/medium.JPG,35.367324,-82.990414,Angelica triquinata,mountain angelica,158381,Apiaceae
826729,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043324/medium.JPG,35.367324,-82.990414,Ageratina altissima,white snakeroot,119048,Asteraceae
826732,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043328/medium.JPG,35.367324,-82.990414,Eurybia chlorolepis,mountain wood aster,162877,Asteraceae
826761,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043395/medium.JPG,35.378987,-83.015152,Arnoglossum atriplicifolium,pale Indian plantain,146715,Asteraceae
826762,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043397/medium.JPG,35.378987,-83.015152,Phlox carolina,thickleaf phlox,166690,Polemoniaceae
826763,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043399/medium.JPG,35.378987,-83.015152,Monarda didyma,Scarlet Beebalm,52735,Lamiaceae
826771,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043404/medium.JPG,35.378987,-83.015152,Impatiens pallida,pale jewelweed,47891,Balsaminaceae
826772,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1043408/medium.JPG,35.425267,-83.036031,Diervilla sessilifolia,Southern bush honeysuckle,161898,Caprifoliaceae
1136600,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1429479/medium.JPG,35.3572451764,-82.9947714307,Pieris floribunda,mountain andromeda,49705,Ericaceae
1136602,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1429482/medium.JPG,35.3228759395,-82.912847168,Pieris floribunda,mountain andromeda,49705,Ericaceae
1136640,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1429551/medium.jpg,35.355108,-82.844019,Amianthium muscitoxicum,fly poison,83015,Melanthiaceae
1158491,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1460466/medium.JPG,35.2828584866,-83.0117450741,Delphinium exaltatum,tall larkspur,129616,Ranunculaceae
1235093,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1554388/medium.jpg,35.409551,-82.856243,Clintonia umbellulata,white clintonia,118725,Liliaceae
1273290,Evan M. Raskin,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/1597271/medium.jpg,35.409551,-82.856243,Trillium vaseyi,Vasey's trillium,170005,Melanthiaceae
1404039,,,http://static.inaturalist.org/photos/1736824/medium.JPG,35.441297,-82.815627,Conopholis americana,American cancer-root,59980,Orobanchaceae
1428409,,,http://static.inaturalist.org/photos/1767790/medium.JPG,35.441297,-82.815627,Cornus florida,flowering dogwood,54777,Cornaceae
1431891,"",,http://static.inaturalist.org/photos/1772047/medium.jpg,35.488715,-82.988748,Taraxacum officinale,common dandelion,47602,Asteraceae
1441156,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1783919/medium.JPG,35.525658,-82.930357,Glechoma hederacea,ground-ivy,55830,Lamiaceae
1451788,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1798958/medium.jpg,35.452476,-82.99862,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
1453841,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801960/medium.jpg,35.284063,-82.789518,Fagus grandifolia,American beech,49202,Fagaceae
1453843,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801965/medium.jpg,35.283688,-82.789665,Arisaema triphyllum,Jack-in-the-Pulpit,50310,Araceae
1453844,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801961/medium.jpg,35.283709,-82.789442,Trillium rugelii,southern nodding wakerobin,169999,Melanthiaceae
1453846,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801964/medium.jpg,35.283752,-82.789228,Trillium vaseyi,Vasey's trillium,170005,Melanthiaceae
1453848,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801967/medium.jpg,35.283596,-82.789542,Galearis spectabilis,showy orchis,51432,Orchidaceae
1453849,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801969/medium.jpg,35.302941,-82.738315,Galearis spectabilis,showy orchis,51432,Orchidaceae
1453850,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801970/medium.jpg,35.30277,-82.738476,Iris cristata,dwarf crested iris,82812,Iridaceae
1453851,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/1801968/medium.jpg,35.283676,-82.789947,Podophyllum peltatum,mayapple,49288,Berberidaceae
1454556,,,http://static.inaturalist.org/photos/1803021/medium.JPG,35.515601,-82.823181,Juglans nigra,eastern black walnut,54504,Juglandaceae
1481716,Ann Walter-Fromson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/1836587/medium.jpg,35.453716,-82.705773,Uvularia grandiflora,largeflower bellwort,126749,Colchicaceae
