id,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_family_name
83368,Chris Habeck,CC-BY-NC-SA,http://static.inaturalist.org/photos/122350/medium.JPG,35.5627546,-83.4984981,Clintonia borealis,bluebead lily,Liliaceae
87001,Scott Loarie,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/127053/medium.jpg,36.1886628436,-78.8720070124,Echinacea laevigata,smooth purple coneflower,Asteraceae
87018,Scott Loarie,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/127098/medium.jpg,36.075734,-78.863096,Silene virginica,fire pink,Caryophyllaceae
87027,Scott Loarie,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/127127/medium.jpg,36.1680686957,-78.9180497934,Salvia urticifolia,Nettleleaf Sage,Lamiaceae
88099,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/128602/medium.jpg,36.1153621141,-78.6783132708,Rhus copallinum,shining sumac,Anacardiaceae
88696,Lesley,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/129259/medium.JPG,35.02936334,-82.7178801912,Monotropa uniflora,Ghost Pipe,Ericaceae
92780,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/135149/medium.jpg,36.042256,-78.99989,Liriodendron tulipifera,tulip tree,Magnoliaceae
114471,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/164791/medium.jpg,35.238587,-75.599893,Smilax bona-nox,saw greenbrier,Smilacaceae
114482,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/164818/medium.jpg,35.25344365,-75.531681,Callicarpa americana,American beautyberry,Lamiaceae
114509,"",CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/164895/medium.jpg,35.815194,-75.564259,Galactia regularis,eastern milk-pea,Fabaceae
145294,Johnny Wilson,CC-BY-NC,http://static.inaturalist.org/photos/200722/medium.jpg,35.0807670262,-82.6649731167,Hexastylis rhombiformis,French Broad heartleaf,Aristolochiaceae
194903,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/248820/medium.jpg,35.9854030948,-79.0571129322,Trichostema dichotomum,Blue Curls,Lamiaceae
194904,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/248821/medium.jpg,35.9921743095,-79.0528589487,Trichostema dichotomum,Blue Curls,Lamiaceae
244728,Suzanne Cadwell,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/306002/medium.jpg,34.960246,-79.530029,Asclepias humistrata,Sandhill milkweed,Apocynaceae
268298,Greg Maher,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/331941/medium.jpg,35.286668,-82.595451,Rhus,sumacs,Anacardiaceae
